GeneID	Symbol	EnsemblID
3958	LGALS3	ENSG00000131981
51738	GHRL	ENSG00000157017
3688	ITGB1	ENSG00000150093
6714	SRC	ENSG00000197122
4582	MUC1	ENSG00000185499
2706	GJB2	ENSG00000165474
4292	MLH1	ENSG00000076242
64127	NOD2	ENSG00000167207
3690	ITGB3	ENSG00000259207
3934	LCN2	ENSG00000148346
5621	PRNP	ENSG00000171867
836	CASP3	ENSG00000164305
3630	INS	ENSG00000254647
6667	SP1	ENSG00000185591
1906	EDN1	ENSG00000078401
9429	ABCG2	ENSG00000118777
4153	MBL2	ENSG00000165471
5879	RAC1	ENSG00000136238
1543	CYP1A1	ENSG00000140465
3417	IDH1	ENSG00000138413
6648	SOD2	ENSG00000291237
406938	MIR146A	ENSG00000283733
23435	TARDBP	ENSG00000120948
324	APC	ENSG00000134982
4000	LMNA	ENSG00000160789
4312	MMP1	ENSG00000196611
6531	SLC6A3	ENSG00000142319
1559	CYP2C9	ENSG00000138109
3043	HBB	ENSG00000244734
8626	TP63	ENSG00000073282
1027	CDKN1B	ENSG00000111276
3791	KDR	ENSG00000128052
3075	CFH	ENSG00000000971
338	APOB	ENSG00000084674
5595	MAPK3	ENSG00000102882
8743	TNFSF10	ENSG00000121858
185	AGTR1	ENSG00000144891
3725	JUN	ENSG00000177606
238	ALK	ENSG00000171094
1576	CYP3A4	ENSG00000160868
4282	MIF	ENSG00000240972
581	BAX	ENSG00000087088
4288	MKI67	ENSG00000148773
406947	MIR155	ENSG00000283904
3557	IL1RN	ENSG00000136689
2332	FMR1	ENSG00000102081
2322	FLT3	ENSG00000122025
4255	MGMT	ENSG00000170430
5747	PTK2	ENSG00000169398
5071	PRKN	ENSG00000185345
387	RHOA	ENSG00000067560
3949	LDLR	ENSG00000130164
6772	STAT1	ENSG00000115415
1588	CYP19A1	ENSG00000137869
5663	PSEN1	ENSG00000080815
4869	NPM1	ENSG00000181163
4982	TNFRSF11B	ENSG00000164761
6331	SCN5A	ENSG00000183873
7490	WT1	ENSG00000184937
2033	EP300	ENSG00000100393
54658	UGT1A1	ENSG00000241635
3107	HLA-C	ENSG00000204525
929	CD14	ENSG00000170458
7428	VHL	ENSG00000134086
255738	PCSK9	ENSG00000169174
6934	TCF7L2	ENSG00000148737
19	ABCA1	ENSG00000165029
3082	HGF	ENSG00000019991
7276	TTR	ENSG00000118271
861	RUNX1	ENSG00000159216
1277	COL1A1	ENSG00000108821
2157	F8	ENSG00000185010
3320	HSP90AA1	ENSG00000080824
5265	SERPINA1	ENSG00000197249
4204	MECP2	ENSG00000169057
217	ALDH2	ENSG00000111275
4843	NOS2	ENSG00000007171
2247	FGF2	ENSG00000138685
3757	KCNH2	ENSG00000055118
3552	IL1A	ENSG00000115008
3064	HTT	ENSG00000197386
54106	TLR9	ENSG00000239732
2335	FN1	ENSG00000115414
1471	CST3	ENSG00000101439
2697	GJA1	ENSG00000152661
3039	HBA1	ENSG00000206172
282617	IFNL3	ENSG00000197110
5781	PTPN11	ENSG00000179295
4023	LPL	ENSG00000175445
213	ALB	ENSG00000163631
5241	PGR	ENSG00000082175
8074	FGF23	ENSG00000118972
1815	DRD4	ENSG00000069696
2321	FLT1	ENSG00000102755
841	CASP8	ENSG00000064012
2068	ERCC2	ENSG00000104884
3065	HDAC1	ENSG00000116478
3309	HSPA5	ENSG00000044574
3356	HTR2A	ENSG00000102468
10891	PPARGC1A	ENSG00000109819
6790	AURKA	ENSG00000087586
10	NAT2	ENSG00000156006
1869	E2F1	ENSG00000101412
7316	UBC	ENSG00000150991
6513	SLC2A1	ENSG00000117394
1071	CETP	ENSG00000087237
407040	MIR34A	ENSG00000284357
3558	IL2	ENSG00000109471
196	AHR	ENSG00000106546
25	ABL1	ENSG00000097007
6657	SOX2	ENSG00000181449
3627	CXCL10	ENSG00000169245
4436	MSH2	ENSG00000095002
3265	HRAS	ENSG00000174775
5578	PRKCA	ENSG00000154229
5599	MAPK8	ENSG00000107643
56729	RETN	ENSG00000104918
6352	CCL5	ENSG00000271503
4089	SMAD4	ENSG00000141646
983	CDK1	ENSG00000170312
4353	MPO	ENSG00000005381
4170	MCL1	ENSG00000143384
1950	EGF	ENSG00000138798
5347	PLK1	ENSG00000166851
2263	FGFR2	ENSG00000066468
1577	CYP3A5	ENSG00000106258
4314	MMP3	ENSG00000149968
4988	OPRM1	ENSG00000112038
3953	LEPR	ENSG00000116678
9518	GDF15	ENSG00000130513
2067	ERCC1	ENSG00000012061
90865	IL33	ENSG00000137033
3481	IGF2	ENSG00000167244
4128	MAOA	ENSG00000189221
2309	FOXO3	ENSG00000118689
2152	F3	ENSG00000117525
3486	IGFBP3	ENSG00000146674
5888	RAD51	ENSG00000051180
7098	TLR3	ENSG00000164342
8842	PROM1	ENSG00000007062
682	BSG	ENSG00000172270
4088	SMAD3	ENSG00000166949
7132	TNFRSF1A	ENSG00000067182
328	APEX1	ENSG00000100823
650	BMP2	ENSG00000125845
7291	TWIST1	ENSG00000122691
8600	TNFSF11	ENSG00000120659
3643	INSR	ENSG00000171105
2260	FGFR1	ENSG00000077782
8878	SQSTM1	ENSG00000161011
378938	MALAT1	ENSG00000251562
1116	CHI3L1	ENSG00000133048
5460	POU5F1	ENSG00000204531
4968	OGG1	ENSG00000114026
10135	NAMPT	ENSG00000105835
2308	FOXO1	ENSG00000150907
3784	KCNQ1	ENSG00000053918
7076	TIMP1	ENSG00000102265
1786	DNMT1	ENSG00000130816
2261	FGFR3	ENSG00000068078
718	C3	ENSG00000125730
1803	DPP4	ENSG00000197635
4763	NF1	ENSG00000196712
7161	TP73	ENSG00000078900
1756	DMD	ENSG00000198947
5329	PLAUR	ENSG00000011422
11093	ADAMTS13	ENSG00000160323
3315	HSPB1	ENSG00000106211
3596	IL13	ENSG00000169194
1387	CREBBP	ENSG00000005339
3117	HLA-DQA1	ENSG00000196735
2305	FOXM1	ENSG00000111206
11200	CHEK2	ENSG00000183765
2778	GNAS	ENSG00000087460
406937	MIR145	ENSG00000276365
356	FASLG	ENSG00000117560
1490	CCN2	ENSG00000118523
26191	PTPN22	ENSG00000134242
1191	CLU	ENSG00000120885
598	BCL2L1	ENSG00000171552
2629	GBA1	ENSG00000177628
1571	CYP2E1	ENSG00000130649
796	CALCA	ENSG00000110680
4018	LPA	ENSG00000198670
7298	TYMS	ENSG00000176890
846	CASR	ENSG00000036828
203228	C9orf72	ENSG00000147894
1017	CDK2	ENSG00000123374
5027	P2RX7	ENSG00000089041
5111	PCNA	ENSG00000132646
1586	CYP17A1	ENSG00000148795
4210	MEFV	ENSG00000103313
2896	GRN	ENSG00000030582
1457	CSNK2A1	ENSG00000101266
5806	PTX3	ENSG00000163661
3084	NRG1	ENSG00000157168
7431	VIM	ENSG00000026025
6469	SHH	ENSG00000164690
860	RUNX2	ENSG00000124813
23405	DICER1	ENSG00000100697
959	CD40LG	ENSG00000102245
3620	IDO1	ENSG00000131203
100507436	MICA	ENSG00000204520
4297	KMT2A	ENSG00000118058
1268	CNR1	ENSG00000118432
3308	HSPA4	ENSG00000170606
2200	FBN1	ENSG00000166147
1728	NQO1	ENSG00000181019
958	CD40	ENSG00000101017
100124700	HOTAIR	ENSG00000228630
1385	CREB1	ENSG00000118260
6280	S100A9	ENSG00000163220
948	CD36	ENSG00000135218
5465	PPARA	ENSG00000186951
5295	PIK3R1	ENSG00000145675
648	BMI1	ENSG00000168283
811	CALR	ENSG00000179218
1545	CYP1B1	ENSG00000138061
4323	MMP14	ENSG00000157227
8678	BECN1	ENSG00000126581
5021	OXTR	ENSG00000180914
283120	H19	ENSG00000130600
5315	PKM	ENSG00000067225
6935	ZEB1	ENSG00000148516
3559	IL2RA	ENSG00000134460
6794	STK11	ENSG00000118046
9365	KL	ENSG00000133116
6285	S100B	ENSG00000160307
6615	SNAI1	ENSG00000124216
998	CDC42	ENSG00000070831
2885	GRB2	ENSG00000177885
7052	TGM2	ENSG00000198959
2539	G6PD	ENSG00000160211
2022	ENG	ENSG00000106991
7057	THBS1	ENSG00000137801
2521	FUS	ENSG00000089280
5580	PRKCD	ENSG00000163932
3667	IRS1	ENSG00000169047
60489	APOBEC3G	ENSG00000239713
10673	TNFSF13B	ENSG00000102524
302	ANXA2	ENSG00000182718
2312	FLG	ENSG00000143631
57817	HAMP	ENSG00000105697
331	XIAP	ENSG00000101966
354	KLK3	ENSG00000142515
4854	NOTCH3	ENSG00000074181
1994	ELAVL1	ENSG00000066044
1788	DNMT3A	ENSG00000119772
4893	NRAS	ENSG00000213281
7412	VCAM1	ENSG00000162692
2034	EPAS1	ENSG00000116016
4160	MC4R	ENSG00000166603
22943	DKK1	ENSG00000107984
3172	HNF4A	ENSG00000101076
7048	TGFBR2	ENSG00000163513
3593	IL12B	ENSG00000113302
285	ANGPT2	ENSG00000091879
5591	PRKDC	ENSG00000253729
5328	PLAU	ENSG00000122861
11186	RASSF1	ENSG00000068028
6927	HNF1A	ENSG00000135100
7139	TNNT2	ENSG00000118194
2056	EPO	ENSG00000130427
268	AMH	ENSG00000104899
3685	ITGAV	ENSG00000138448
7189	TRAF6	ENSG00000175104
2155	F7	ENSG00000057593
6662	SOX9	ENSG00000125398
867	CBL	ENSG00000110395
3600	IL15	ENSG00000164136
3240	HP	ENSG00000257017
3956	LGALS1	ENSG00000100097
7153	TOP2A	ENSG00000131747
5371	PML	ENSG00000140464
2212	FCGR2A	ENSG00000143226
23586	RIGI	ENSG00000107201
4615	MYD88	ENSG00000172936
1050	CEBPA	ENSG00000245848
5156	PDGFRA	ENSG00000134853
7430	EZR	ENSG00000092820
80339	PNPLA3	ENSG00000100344
116519	APOA5	ENSG00000110243
4316	MMP7	ENSG00000137673
7442	TRPV1	ENSG00000196689
7133	TNFRSF1B	ENSG00000028137
8091	HMGA2	ENSG00000149948
567	B2M	ENSG00000166710
5894	RAF1	ENSG00000132155
1958	EGR1	ENSG00000120738
4613	MYCN	ENSG00000134323
4792	NFKBIA	ENSG00000100906
6850	SYK	ENSG00000165025
1589	CYP21A2	ENSG00000231852
1544	CYP1A2	ENSG00000140505
3303	HSPA1A	ENSG00000204389
9314	KLF4	ENSG00000136826
2688	GH1	ENSG00000259384
1111	CHEK1	ENSG00000149554
5950	RBP4	ENSG00000138207
9021	SOCS3	ENSG00000184557
2625	GATA3	ENSG00000107485
3689	ITGB2	ENSG00000160255
11315	PARK7	ENSG00000116288
7128	TNFAIP3	ENSG00000118503
6323	SCN1A	ENSG00000144285
4049	LTA	ENSG00000226979
7046	TGFBR1	ENSG00000106799
540	ATP7B	ENSG00000123191
26291	FGF21	ENSG00000105550
2214	FCGR3A	ENSG00000203747
6597	SMARCA4	ENSG00000127616
4904	YBX1	ENSG00000065978
7424	VEGFC	ENSG00000150630
7415	VCP	ENSG00000165280
5159	PDGFRB	ENSG00000113721
133	ADM	ENSG00000148926
5566	PRKACA	ENSG00000072062
5562	PRKAA1	ENSG00000132356
84868	HAVCR2	ENSG00000135077
7253	TSHR	ENSG00000165409
2065	ERBB3	ENSG00000065361
6786	STIM1	ENSG00000167323
5300	PIN1	ENSG00000127445
1019	CDK4	ENSG00000135446
4087	SMAD2	ENSG00000175387
10855	HPSE	ENSG00000173083
65018	PINK1	ENSG00000158828
10631	POSTN	ENSG00000133110
7474	WNT5A	ENSG00000114251
3570	IL6R	ENSG00000160712
545	ATR	ENSG00000175054
174	AFP	ENSG00000081051
729230	CCR2	ENSG00000121807
652	BMP4	ENSG00000125378
2534	FYN	ENSG00000010810
864	RUNX3	ENSG00000020633
5080	PAX6	ENSG00000007372
406906	MIR122	ENSG00000284440
3014	H2AX	ENSG00000188486
10018	BCL2L11	ENSG00000153094
6382	SDC1	ENSG00000115884
6868	ADAM17	ENSG00000151694
7077	TIMP2	ENSG00000035862
2784	GNB3	ENSG00000111664
79001	VKORC1	ENSG00000167397
3066	HDAC2	ENSG00000196591
23621	BACE1	ENSG00000186318
283131	NEAT1	ENSG00000245532
6598	SMARCB1	ENSG00000099956
10599	SLCO1B1	ENSG00000134538
2638	GC	ENSG00000145321
5478	PPIA	ENSG00000196262
4035	LRP1	ENSG00000123384
5624	PROC	ENSG00000115718
3375	IAPP	ENSG00000121351
4627	MYH9	ENSG00000100345
5053	PAH	ENSG00000171759
1789	DNMT3B	ENSG00000088305
406913	MIR126	ENSG00000199161
5058	PAK1	ENSG00000149269
135	ADORA2A	ENSG00000128271
50616	IL22	ENSG00000127318
5340	PLG	ENSG00000122194
4363	ABCC1	ENSG00000103222
820	CAMP	ENSG00000164047
30835	CD209	ENSG00000090659
7517	XRCC3	ENSG00000126215
4683	NBN	ENSG00000104320
2078	ERG	ENSG00000157554
252995	FNDC5	ENSG00000160097
55294	FBXW7	ENSG00000109670
4157	MC1R	ENSG00000258839
6502	SKP2	ENSG00000145604
2289	FKBP5	ENSG00000096060
4684	NCAM1	ENSG00000149294
6093	ROCK1	ENSG00000067900
6401	SELE	ENSG00000007908
345	APOC3	ENSG00000110245
7137	TNNI3	ENSG00000129991
5228	PGF	ENSG00000119630
216	ALDH1A1	ENSG00000165092
3767	KCNJ11	ENSG00000187486
3329	HSPD1	ENSG00000144381
7249	TSC2	ENSG00000103197
6403	SELP	ENSG00000174175
3312	HSPA8	ENSG00000109971
6678	SPARC	ENSG00000113140
775	CACNA1C	ENSG00000151067
1051	CEBPB	ENSG00000172216
54790	TET2	ENSG00000168769
768	CA9	ENSG00000107159
4057	LTF	ENSG00000012223
9212	AURKB	ENSG00000178999
2735	GLI1	ENSG00000111087
3350	HTR1A	ENSG00000178394
59067	IL21	ENSG00000138684
2316	FLNA	ENSG00000196924
94025	MUC16	ENSG00000181143
3456	IFNB1	ENSG00000171855
7941	PLA2G7	ENSG00000146070
7351	UCP2	ENSG00000175567
3932	LCK	ENSG00000182866
1280	COL2A1	ENSG00000139219
2150	F2RL1	ENSG00000164251
801	CALM1	ENSG00000198668
8651	SOCS1	ENSG00000185338
197	AHSG	ENSG00000145192
6462	SHBG	ENSG00000129214
7273	TTN	ENSG00000155657
1045	CDX2	ENSG00000165556
3418	IDH2	ENSG00000182054
7341	SUMO1	ENSG00000116030
2244	FGB	ENSG00000171564
22914	KLRK1	ENSG00000213809
2492	FSHR	ENSG00000170820
7528	YY1	ENSG00000100811
4072	EPCAM	ENSG00000119888
847	CAT	ENSG00000121691
1977	EIF4E	ENSG00000151247
24	ABCA4	ENSG00000198691
6464	SHC1	ENSG00000160691
9817	KEAP1	ENSG00000079999
149233	IL23R	ENSG00000162594
3115	HLA-DPB1	ENSG00000223865
2272	FHIT	ENSG00000189283
7037	TFRC	ENSG00000072274
3551	IKBKB	ENSG00000104365
23476	BRD4	ENSG00000141867
5428	POLG	ENSG00000140521
361	AQP4	ENSG00000171885
103	ADAR	ENSG00000160710
153	ADRB1	ENSG00000043591
6261	RYR1	ENSG00000196218
23028	KDM1A	ENSG00000004487
1814	DRD3	ENSG00000151577
7295	TXN	ENSG00000136810
7534	YWHAZ	ENSG00000164924
7172	TPMT	ENSG00000137364
551	AVP	ENSG00000101200
3674	ITGA2B	ENSG00000005961
1585	CYP11B2	ENSG00000179142
155	ADRB3	ENSG00000188778
8856	NR1I2	ENSG00000144852
947	CD34	ENSG00000174059
1555	CYP2B6	ENSG00000197408
8314	BAP1	ENSG00000163930
4311	MME	ENSG00000196549
301	ANXA1	ENSG00000135046
875	CBS	ENSG00000160200
2645	GCK	ENSG00000106633
2149	F2R	ENSG00000181104
604	BCL6	ENSG00000113916
407021	MIR29A	ENSG00000284032
5172	SLC26A4	ENSG00000091137
4803	NGF	ENSG00000134259
7018	TF	ENSG00000091513
1969	EPHA2	ENSG00000142627
6275	S100A4	ENSG00000196154
2690	GHR	ENSG00000112964
4973	OLR1	ENSG00000173391
898	CCNE1	ENSG00000105173
5741	PTH	ENSG00000152266
5610	EIF2AK2	ENSG00000055332
7514	XPO1	ENSG00000082898
2243	FGA	ENSG00000171560
2113	ETS1	ENSG00000134954
613	BCR	ENSG00000186716
6720	SREBF1	ENSG00000072310
6521	SLC4A1	ENSG00000004939
2353	FOS	ENSG00000170345
6256	RXRA	ENSG00000186350
3297	HSF1	ENSG00000185122
6606	SMN1	ENSG00000172062
4914	NTRK1	ENSG00000198400
2194	FASN	ENSG00000169710
7508	XPC	ENSG00000154767
5770	PTPN1	ENSG00000196396
3566	IL4R	ENSG00000077238
51284	TLR7	ENSG00000196664
8829	NRP1	ENSG00000099250
4842	NOS1	ENSG00000089250
891	CCNB1	ENSG00000134057
3661	IRF3	ENSG00000126456
10664	CTCF	ENSG00000102974
1536	CYBB	ENSG00000165168
5176	SERPINF1	ENSG00000132386
8542	APOL1	ENSG00000100342
50964	SOST	ENSG00000167941
60	ACTB	ENSG00000075624
4221	MEN1	ENSG00000133895
558	AXL	ENSG00000167601
54209	TREM2	ENSG00000095970
10013	HDAC6	ENSG00000094631
5617	PRL	ENSG00000172179
4852	NPY	ENSG00000122585
2167	FABP4	ENSG00000170323
3673	ITGA2	ENSG00000164171
2162	F13A1	ENSG00000124491
125	ADH1B	ENSG00000196616
407018	MIR27A	ENSG00000207808
358	AQP1	ENSG00000240583
8289	ARID1A	ENSG00000117713
5327	PLAT	ENSG00000104368
50507	NOX4	ENSG00000086991
2547	XRCC6	ENSG00000196419
2641	GCG	ENSG00000115263
407006	MIR221	ENSG00000207870
84876	ORAI1	ENSG00000276045
6279	S100A8	ENSG00000143546
7045	TGFBI	ENSG00000120708
1410	CRYAB	ENSG00000109846
7056	THBD	ENSG00000178726
5777	PTPN6	ENSG00000111679
949	SCARB1	ENSG00000073060
10320	IKZF1	ENSG00000185811
940	CD28	ENSG00000178562
1548	CYP2A6	ENSG00000255974
2158	F9	ENSG00000101981
3678	ITGA5	ENSG00000161638
1139	CHRNA7	ENSG00000175344
4595	MUTYH	ENSG00000132781
3592	IL12A	ENSG00000168811
5604	MAP2K1	ENSG00000169032
3897	L1CAM	ENSG00000198910
4830	NME1	ENSG00000239672
10273	STUB1	ENSG00000103266
407008	MIR223	ENSG00000284567
2876	GPX1	ENSG00000233276
7345	UCHL1	ENSG00000154277
8517	IKBKG	ENSG00000269335
246778	IL27	ENSG00000197272
4286	MITF	ENSG00000187098
842	CASP9	ENSG00000132906
5310	PKD1	ENSG00000008710
4771	NF2	ENSG00000186575
7329	UBE2I	ENSG00000103275
2066	ERBB4	ENSG00000178568
85480	TSLP	ENSG00000145777
3579	CXCR2	ENSG00000180871
2956	MSH6	ENSG00000116062
4586	MUC5AC	ENSG00000215182
4804	NGFR	ENSG00000064300
28	ABO	ENSG00000175164
4691	NCL	ENSG00000115053
695	BTK	ENSG00000010671
1278	COL1A2	ENSG00000164692
7150	TOP1	ENSG00000198900
1030	CDKN2B	ENSG00000147883
406935	MIR143	ENSG00000284182
100048912	CDKN2B-AS1	ENSG00000240498
7080	NKX2-1	ENSG00000136352
4915	NTRK2	ENSG00000148053
8837	CFLAR	ENSG00000003402
6591	SNAI2	ENSG00000019549
1535	CYBA	ENSG00000051523
8862	APLN	ENSG00000171388
9332	CD163	ENSG00000177575
406992	MIR210	ENSG00000199038
7535	ZAP70	ENSG00000115085
5294	PIK3CG	ENSG00000105851
2597	GAPDH	ENSG00000111640
7520	XRCC5	ENSG00000079246
1508	CTSB	ENSG00000164733
462	SERPINC1	ENSG00000117601
4548	MTR	ENSG00000116984
684	BST2	ENSG00000130303
8737	RIPK1	ENSG00000137275
7078	TIMP3	ENSG00000100234
4625	MYH7	ENSG00000092054
2670	GFAP	ENSG00000131095
92140	MTDH	ENSG00000147649
5467	PPARD	ENSG00000112033
10059	DNM1L	ENSG00000087470
5788	PTPRC	ENSG00000081237
2852	GPER1	ENSG00000164850
3040	HBA2	ENSG00000188536
632	BGLAP	ENSG00000242252
23410	SIRT3	ENSG00000142082
6376	CX3CL1	ENSG00000006210
1000	CDH2	ENSG00000170558
7486	WRN	ENSG00000165392
3575	IL7R	ENSG00000168685
2717	GLA	ENSG00000102393
2052	EPHX1	ENSG00000143819
3002	GZMB	ENSG00000100453
5914	RARA	ENSG00000131759
1244	ABCC2	ENSG00000023839
3814	KISS1	ENSG00000170498
102	ADAM10	ENSG00000137845
952	CD38	ENSG00000004468
6288	SAA1	ENSG00000173432
5579	PRKCB	ENSG00000166501
27161	AGO2	ENSG00000123908
340061	STING1	ENSG00000184584
100133941	CD24	ENSG00000272398
1113	CHGA	ENSG00000100604
2740	GLP1R	ENSG00000112164
249	ALPL	ENSG00000162551
5155	PDGFB	ENSG00000100311
1147	CHUK	ENSG00000213341
1991	ELANE	ENSG00000197561
4976	OPA1	ENSG00000198836
406985	MIR200C	ENSG00000207713
3371	TNC	ENSG00000041982
51561	IL23A	ENSG00000110944
25937	WWTR1	ENSG00000018408
3659	IRF1	ENSG00000125347
6778	STAT6	ENSG00000166888
55384	MEG3	ENSG00000214548
1524	CX3CR1	ENSG00000168329
8795	TNFRSF10B	ENSG00000120889
6198	RPS6KB1	ENSG00000108443
5175	PECAM1	ENSG00000261371
2006	ELN	ENSG00000049540
59341	TRPV4	ENSG00000111199
1509	CTSD	ENSG00000117984
3159	HMGA1	ENSG00000137309
4322	MMP13	ENSG00000137745
8202	NCOA3	ENSG00000124151
2266	FGG	ENSG00000171557
2811	GP1BA	ENSG00000185245
406952	MIR17	ENSG00000284536
2159	F10	ENSG00000126218
6776	STAT5A	ENSG00000126561
121278	TPH2	ENSG00000139287
10763	NES	ENSG00000132688
7042	TGFB2	ENSG00000092969
5443	POMC	ENSG00000115138
29110	TBK1	ENSG00000183735
4602	MYB	ENSG00000118513
4653	MYOC	ENSG00000034971
240	ALOX5	ENSG00000012779
8877	SPHK1	ENSG00000176170
79923	NANOG	ENSG00000111704
5727	PTCH1	ENSG00000185920
5654	HTRA1	ENSG00000166033
3491	CCN1	ENSG00000142871
10643	IGF2BP3	ENSG00000136231
5430	POLR2A	ENSG00000181222
3925	STMN1	ENSG00000117632
1048	CEACAM5	ENSG00000105388
182	JAG1	ENSG00000101384
5069	PAPPA	ENSG00000182752
2833	CXCR3	ENSG00000186810
4092	SMAD7	ENSG00000101665
1020	CDK5	ENSG00000164885
659	BMPR2	ENSG00000204217
10399	RACK1	ENSG00000204628
8841	HDAC3	ENSG00000171720
1021	CDK6	ENSG00000105810
773	CACNA1A	ENSG00000141837
2130	EWSR1	ENSG00000182944
406986	MIR203A	ENSG00000207568
634	CEACAM1	ENSG00000079385
3716	JAK1	ENSG00000162434
3880	KRT19	ENSG00000171345
3574	IL7	ENSG00000104432
2904	GRIN2B	ENSG00000273079
1025	CDK9	ENSG00000136807
7186	TRAF2	ENSG00000127191
3611	ILK	ENSG00000166333
6928	HNF1B	ENSG00000275410
51741	WWOX	ENSG00000186153
3439	IFNA1	ENSG00000197919
3484	IGFBP1	ENSG00000146678
4878	NPPA	ENSG00000175206
5335	PLCG1	ENSG00000124181
6833	ABCC8	ENSG00000006071
3169	FOXA1	ENSG00000129514
4306	NR3C2	ENSG00000151623
7494	XBP1	ENSG00000100219
27185	DISC1	ENSG00000162946
3133	HLA-E	ENSG00000204592
51548	SIRT6	ENSG00000077463
25939	SAMHD1	ENSG00000101347
3290	HSD11B1	ENSG00000117594
1236	CCR7	ENSG00000126353
590	BCHE	ENSG00000114200
3684	ITGAM	ENSG00000169896
27178	IL37	ENSG00000125571
2934	GSN	ENSG00000148180
10630	PDPN	ENSG00000162493
6716	SRD5A2	ENSG00000277893
4041	LRP5	ENSG00000162337
1673	DEFB4A	ENSG00000171711
64135	IFIH1	ENSG00000115267
3875	KRT18	ENSG00000111057
7321	UBE2D1	ENSG00000072401
