SCREEN_ID,SOURCE_ID,SOURCE_TYPE,AUTHOR,SCREEN_NAME,SCORES_SIZE,FULL_SIZE,FULL_SIZE_AVAILABLE,NUMBER_OF_HITS,ANALYSIS,SIGNIFICANCE_INDICATOR,SIGNIFICANCE_CRITERIA,THROUGHPUT,SCREEN_TYPE,SCREEN_FORMAT,EXPERIMENTAL_SETUP,DURATION,CONDITION_NAME,CONDITION_DOSAGE,MOI,LIBRARY,LIBRARY_TYPE,LIBRARY_METHODOLOGY,ENZYME,CELL_LINE,CELL_TYPE,PHENOTYPE,SCORE_COL_COUNT,SCORE.1_TYPE,SCORE.2_TYPE,SCORE.3_TYPE,SCORE.4_TYPE,SCORE.5_TYPE,ORGANISM_ID,ORGANISM_OFFICIAL,NOTES,SOURCE,SCREEN_RATIONALE,CELL_TYPE_BROAD
66,28162770,pubmed,Wang T (2017),1-PMID28162770,18663,18663,Yes,2435,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,EoL-1,Eosinophilic Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
67,28162770,pubmed,Wang T (2017),2-PMID28162770,18663,18663,Yes,2720,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,HEL,Erythroleukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
68,28162770,pubmed,Wang T (2017),3-PMID28162770,18663,18663,Yes,3486,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,MOLM-13,Acute Myeloid Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
69,28162770,pubmed,Wang T (2017),4-PMID28162770,18663,18663,Yes,1925,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,Mono-Mac-1,Monocytic Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
70,28162770,pubmed,Wang T (2017),5-PMID28162770,18663,18663,Yes,2512,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,MV4-11,Acute Myeloid Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
71,28162770,pubmed,Wang T (2017),6-PMID28162770,18663,18663,Yes,1935,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,NB-4,Acute Myeloid Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
72,28162770,pubmed,Wang T (2017),7-PMID28162770,18663,18663,Yes,2459,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,NB-4,Acute Myeloid Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
73,28162770,pubmed,Wang T (2017),8-PMID28162770,18663,18663,Yes,2389,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,OCI-AML2,Acute Myeloid Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
74,28162770,pubmed,Wang T (2017),9-PMID28162770,18663,18663,Yes,2150,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,OCI-AML3,Acute Myeloid Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
75,28162770,pubmed,Wang T (2017),10-PMID28162770,18663,18663,Yes,2951,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,OCI-AML5,Acute Myeloid Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
76,28162770,pubmed,Wang T (2017),11-PMID28162770,18663,18663,Yes,2312,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,P31/FUJ,Lymphoma or Leukaemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Lymphoid
77,28162770,pubmed,Wang T (2017),20-PMID28162770,18663,18663,Yes,2039,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,PL-21,Lymphoma or Leukaemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Lymphoid
78,28162770,pubmed,Wang T (2017),12-PMID28162770,18663,18663,Yes,2110,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,SKM-1,Lymphoma or Leukaemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Lymphoid
79,28162770,pubmed,Wang T (2017),13-PMID28162770,18663,18663,Yes,3487,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,TF-1,Erythroleukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
80,28162770,pubmed,Wang T (2017),14-PMID28162770,18663,18663,Yes,2826,Log2 Fold Change (L2FC),Score Significance,Score.1 (CRISPR Score (CS)) < -1.0,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Focused Ras Synthetic Lethal Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,THP-1,Monocytic Leukemia Cell Line,cell proliferation,1,CRISPR Score (CS),NA,NA,NA,NA,9606,H. sapiens,"The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes",BioGRID ORCS,Cell-essential genes,Myeloid
89,28611215,pubmed,Fei T (2017),1-PMID28611215,21812,21812,Yes,1991,MaGeCK,Score Significance,Score.1 (MaGeCK Score) <= 0.008592 OR Score.3 (MaGeCK Score) <= 0.0099839,High Throughput,Positive and Negative Selection,Pool,Timecourse,14 Days,NA,NA,= 0.5,GECKO v2,CRISPRn,Knockout,Cas9,LNCaP,Prostate Cancer Cell Line,cell proliferation,4,MaGeCK Score,p-Value,MaGeCK Score,p-Value,NA,9606,H. sapiens,"Genes with a significant negative MAGeCK score are cell-essential genes in the LNCaP cell line, their KO results in decreased proliferation|Genes with a significant positive MAGeCK score are growth restrictive genes in the LNCaP cell line, their KO results in increased proliferation",BioGRID ORCS,Cell-essential genes and growth restrictive genes,Prostate
93,24336571,pubmed,Shalem O (2014),1-PMID24336571,1000,18080,No,1000,Log2 Fold Change (L2FC),All Significant,NA,High Throughput,Negative Selection,Pool,Timecourse,14 Days,NA,NA,= 0.3,GECKO,CRISPRn,Knockout,Cas9,A-375,Melanoma Cell Line,cell proliferation,1,Mean Depletion,NA,NA,NA,NA,9606,H. sapiens,NA,BioGRID ORCS,Cell-essential genes,Skin / Epithelium
94,24336571,pubmed,Shalem O (2014),2-PMID24336571,1000,18080,No,1000,Log2 Fold Change (L2FC),All Significant,NA,High Throughput,Negative Selection,Pool,Timecourse,14 Days,NA,NA,= 0.3,GECKO,CRISPRn,Knockout,Cas9,HUES62,Embryonic Cell Line,cell proliferation,1,Mean Depletion,NA,NA,NA,NA,9606,H. sapiens,NA,BioGRID ORCS,Cell-essential genes,Embryonic
103,24336569,pubmed,Wang T (2014),3-PMID24336569,7114,7114,Yes,321,Kolmogorov-Smirnov,Score Significance,Score.2 (Log10 (Corrected p-Value)) > 1.3,High Throughput,Negative Selection,Pool,Timecourse,12 Doublings,NA,NA,NA,Human CRISPR Knockout Pooled Libraries (Enriched Sub-pools),CRISPRn,Knockout,Cas9,KBM-7,Chronic Myeloid Leukemia Cell Line,cell proliferation,2,Essentiality Score,Log10 (Corrected p-Value),NA,NA,NA,9606,H. sapiens,The threshold used to determine significant genes is -log10(corrected p-value)>1.3,BioGRID ORCS,Cell-essential genes,Myeloid
104,24336569,pubmed,Wang T (2014),4-PMID24336569,7114,7114,Yes,59,Kolmogorov-Smirnov,Score Significance,Score.2 (Log10 (Corrected p-Value)) > 1.3,High Throughput,Negative Selection,Pool,Timecourse,12 Doublings,NA,NA,NA,Human CRISPR Knockout Pooled Libraries (Enriched Sub-pools),CRISPRn,Knockout,Cas9,HL-60,Acute Myeloid Leukemia Cell Line,cell proliferation,2,Essentiality Score,Log10 (Corrected p-Value),NA,NA,NA,9606,H. sapiens,The threshold used to determine significant genes is -log10(corrected p-value)>1.3,BioGRID ORCS,Cell-essential genes,Myeloid
139,25494202,pubmed,Konermann S (2015),3-PMID25494202,300,23430,No,300,RIGER,All Significant,NA,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 0.2,SAM v1 (Zeomycin),CRISPRa,Activation,SAM (NLS-dCas9-VP64/MS2-p65-HSF1),A-375,Melanoma Cell Line,cell proliferation,1,Mean Depletion,NA,NA,NA,NA,9606,H. sapiens,NA,BioGRID ORCS,Gene activation decreases fitness,Skin / Epithelium
141,27869803,pubmed,Steinhart Z (2017),1-PMID27869803,17226,17226,Yes,2174,BAGEL,Score Significance,Score.1 (Bayes Factor) > 3.0,High Throughput,Negative Selection,Pool,Timecourse,20 Doublings,NA,NA,= 0.3,TKO (Toronto Knockout) v1,CRISPRn,Knockout,Cas9,HPAF-2,Pancreatic Adenocarcinoma Cell Line,cell proliferation,1,Bayes Factor,NA,NA,NA,NA,9606,H. sapiens,Genes with a Bayes Factor (BF) above the threshold of 3.00 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.,BioGRID ORCS,Cell-essential genes,Pancreas / Glandular
142,27869803,pubmed,Steinhart Z (2017),2-PMID27869803,17226,17226,Yes,2072,BAGEL,Score Significance,Score.1 (Bayes Factor) > 1.43,High Throughput,Negative Selection,Pool,Timecourse,20 Doublings,NA,NA,= 0.3,TKO (Toronto Knockout) v1,CRISPRn,Knockout,Cas9,PA-TU-8988S,Pancreatic Adenocarcinoma Cell Line,cell proliferation,1,Bayes Factor,NA,NA,NA,NA,9606,H. sapiens,Genes with a Bayes Factor (BF) above the threshold of 1.43 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.,BioGRID ORCS,Cell-essential genes,Pancreas / Glandular
143,27869803,pubmed,Steinhart Z (2017),3-PMID27869803,17226,17226,Yes,936,BAGEL,Score Significance,Score.1 (Bayes Factor) > 5.0,High Throughput,Negative Selection,Pool,Timecourse,20 Doublings,NA,NA,= 0.3,TKO (Toronto Knockout) v1,CRISPRn,Knockout,Cas9,AsPC1,Pancreatic Adenocarcinoma Cell Line,cell proliferation,1,Bayes Factor,NA,NA,NA,NA,9606,H. sapiens,Genes with a Bayes Factor (BF) above the threshold of 5.00 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.,BioGRID ORCS,Cell-essential genes,Pancreas / Glandular
149,26472758,pubmed,Wang T (2015),1-PMID26472758,18166,18166,Yes,1878,Kolmogorov-Smirnov,Score Significance,Score.1 (CRISPR Score (CS)) < -0.1 AND Score.2 (p-Value) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Human Activity-optimized genome-wide library,CRISPRn,Knockout,Cas9,KBM-7,Chronic Myeloid Leukemia Cell Line,cell proliferation,2,CRISPR Score (CS),p-Value,NA,NA,NA,9606,H. sapiens,Genes with a CRISPR Score (CS) < -0.1 and corrected p-value < 0.05 are considered significant.,BioGRID ORCS,Cell-essential genes,Myeloid
150,26472758,pubmed,Wang T (2015),2-PMID26472758,18166,18166,Yes,1660,Kolmogorov-Smirnov,Score Significance,Score.1 (CRISPR Score (CS)) < -0.1 AND Score.2 (p-Value) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Human Activity-optimized genome-wide library,CRISPRn,Knockout,Cas9,K-562,Chronic Myeloid Leukemia Cell Line,cell proliferation,2,CRISPR Score (CS),p-Value,NA,NA,NA,9606,H. sapiens,Genes with a CRISPR Score (CS) < -0.1 and corrected p-value < 0.05 are considered significant.,BioGRID ORCS,Cell-essential genes,Myeloid
151,26472758,pubmed,Wang T (2015),3-PMID26472758,18166,18166,Yes,1630,Kolmogorov-Smirnov,Score Significance,Score.1 (CRISPR Score (CS)) < -0.1 AND Score.2 (p-Value) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Human Activity-optimized genome-wide library,CRISPRn,Knockout,Cas9,Jiyoye,Burkitt Lymphoma Cell Line,cell proliferation,2,CRISPR Score (CS),p-Value,NA,NA,NA,9606,H. sapiens,Genes with a CRISPR Score (CS) < -0.1 and corrected p-value < 0.05 are considered significant.,BioGRID ORCS,Cell-essential genes,Lymphoid
152,26472758,pubmed,Wang T (2015),4-PMID26472758,18166,18166,Yes,1464,Kolmogorov-Smirnov,Score Significance,Score.1 (CRISPR Score (CS)) < -0.1 AND Score.2 (p-Value) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,14 Doublings,NA,NA,NA,Human Activity-optimized genome-wide library,CRISPRn,Knockout,Cas9,RAJI,Burkitt Lymphoma Cell Line,cell proliferation,2,CRISPR Score (CS),p-Value,NA,NA,NA,9606,H. sapiens,Genes with a CRISPR Score (CS) < -0.1 and corrected p-value < 0.05 are considered significant.,BioGRID ORCS,Cell-essential genes,Lymphoid
153,29038160,pubmed,Bertomeu T (2017),1-PMID29038160,18907,18907,Yes,2236,RANKS,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,15 Days,NA,NA,= 0.5,Extended Knockout Library (EKO),CRISPRn,Knockout,Cas9,NALM-6,Pre-B Acute Lymphoblastic Leukemia Cell Line,cell proliferation,2,RANKS score,FDR,NA,NA,NA,9606,H. sapiens,Genes with a corrected RANKS score and an FDR < 0.05 were considered significant and essential in the NALM6 cell line.,BioGRID ORCS,Cell-essential genes,Lymphoid
154,27760321,pubmed,Tzelepis K (2016),1-PMID27760321,18009,18009,Yes,2151,MaGeCK,Score Significance,Score.2 (FDR) < 0.2,High Throughput,Negative Selection,Pool,Timecourse,25 Days,NA,NA,NA,Human Improved Genome-wide Knockout CRISPR Library,CRISPRn,Knockout,Cas9,HT-29,Colonic Adenocarcinoma Cell Line,cell proliferation,2,MaGeCK Score,FDR,NA,NA,NA,9606,H. sapiens,Depleted genes were identified at a cutoff of FDR 20% (FDR < 0.2).,BioGRID ORCS,Cell-essential genes,Gastrointestinal / Glandular
155,27760321,pubmed,Tzelepis K (2016),2-PMID27760321,18009,18009,Yes,1278,MaGeCK,Score Significance,Score.2 (FDR) < 0.2,High Throughput,Negative Selection,Pool,Timecourse,25 Days,NA,NA,NA,Human Improved Genome-wide Knockout CRISPR Library,CRISPRn,Knockout,Cas9,HL-60,Acute Myeloid Leukemia Cell Line,cell proliferation,2,MaGeCK Score,FDR,NA,NA,NA,9606,H. sapiens,Depleted genes were identified at a cutoff of FDR 20% (FDR < 0.2).,BioGRID ORCS,Cell-essential genes,Myeloid
156,27760321,pubmed,Tzelepis K (2016),3-PMID27760321,18009,18009,Yes,1730,MaGeCK,Score Significance,Score.2 (FDR) < 0.2,High Throughput,Negative Selection,Pool,Timecourse,25 Days,NA,NA,NA,Human Improved Genome-wide Knockout CRISPR Library,CRISPRn,Knockout,Cas9,HT-1080,Fibrosarcoma Cell Line,cell proliferation,2,MaGeCK Score,FDR,NA,NA,NA,9606,H. sapiens,Depleted genes were identified at a cutoff of FDR 20% (FDR < 0.2).,BioGRID ORCS,Cell-essential genes,Connective
157,28474669,pubmed,Morgens DW (2017),2-PMID28474669,20533,20533,Yes,2375,CasTLE,Column Significance,NA,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,NA,Bassik Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,RAMOS,Burkitt Lymphoma Cell Line,cell proliferation,2,CasTLE Score,p-Value,NA,NA,NA,9606,H. sapiens,authors used a cut-off of FDR<= 10% to determine significance,BioGRID ORCS,Cell-essential genes,Lymphoid
158,28474669,pubmed,Morgens DW (2017),3-PMID28474669,20533,20533,Yes,2447,CasTLE,Column Significance,NA,High Throughput,Negative Selection,Pool,Timecourse,14 Days,NA,NA,NA,Bassik Human CRISPR Knockout Library,CRISPRn,Knockout,Cas9,K-562,Chronic Myeloid Leukemia Cell Line,cell proliferation,2,CasTLE Score,p-Value,NA,NA,NA,9606,H. sapiens,authors used a cut-off of FDR<= 10% to determine significance,BioGRID ORCS,Cell-essential genes,Myeloid
