cell_type,gene,num_hits,num_screens,gene_ensembl
Bone-Connective,GOLGA8N,6,17,ENSG00000232653
Bone-Connective,RGPD6,6,17,ENSG00000183054
Bone-Connective,RPL21,6,17,ENSG00000122026
Bone-Connective,CTAGE8,7,17,ENSG00000289604
Bone-Connective,GBGT1,7,17,ENSG00000148288
Bone-Connective,NPIPA5,7,17,ENSG00000183793
Bone-Connective,TNFRSF13C,7,17,ENSG00000159958
Bone-Connective,ZFP82,7,17,ENSG00000181007
Bone-Connective,AFM,8,17,ENSG00000079557
Bone-Connective,CLEC18C,8,17,ENSG00000157335
Bone-Connective,POLR2A,8,17,ENSG00000181222
Bone-Connective,SPATA31A7,8,17,ENSG00000276040
Bone-Connective,RPL13A,9,17,ENSG00000142541
Bone-Connective,GPX4,14,17,ENSG00000167468
Breast,ABCD2,1,33,ENSG00000173208
Breast,ABTB2,1,33,ENSG00000166016
Breast,ACAD10,1,33,ENSG00000111271
Breast,ACAD9,1,33,ENSG00000177646
Breast,ACTG2,1,33,ENSG00000163017
Breast,ACTL8,1,33,ENSG00000117148
Breast,ACTN1,1,33,ENSG00000072110
Breast,ACVR1,1,33,ENSG00000115170
Breast,ADAM18,1,33,ENSG00000168619
Breast,ADH1A,1,33,ENSG00000187758
Breast,ADIPOR2,1,33,ENSG00000006831
Breast,AGTR1,1,33,ENSG00000144891
Breast,AMACR,1,33,ENSG00000242110
Breast,AMBRA1,1,33,ENSG00000110497
Breast,AMOTL2,1,33,ENSG00000114019
Breast,APOBEC3A_B,1,33,ENSG00000128383
Breast,APOC3,1,33,ENSG00000110245
Breast,APOL5,1,33,ENSG00000128313
Breast,ARHGDIA,1,33,ENSG00000141522
Breast,ARIH2,1,33,ENSG00000177479
Breast,ASH2L,1,33,ENSG00000129691
Breast,ATG101,1,33,ENSG00000123395
Breast,ATP2B1,1,33,ENSG00000070961
Breast,ATP5O,1,33,
Breast,ATXN10,1,33,ENSG00000130638
Breast,BANF2,1,33,ENSG00000125888
Breast,BGLAP,1,33,ENSG00000242252
Breast,BIRC2,1,33,ENSG00000110330
Breast,BMPR1A,1,33,ENSG00000107779
Breast,CAPZA2,1,33,ENSG00000198898
Breast,CARS2,1,33,ENSG00000134905
Breast,CBFB,1,33,ENSG00000067955
Breast,CCDC6,1,33,ENSG00000108091
Breast,CDC42SE2,1,33,ENSG00000158985
Breast,CDKN2B,1,33,ENSG00000147883
Breast,CEBPB,1,33,ENSG00000172216
Breast,CENPB,1,33,ENSG00000125817
Breast,CEP350,1,33,ENSG00000135837
Breast,CGNL1,1,33,ENSG00000128849
Breast,CHI3L1,1,33,ENSG00000133048
Breast,CHST7,1,33,ENSG00000147119
Breast,CLEC12A,1,33,ENSG00000172322
Breast,CLEC18C,1,33,ENSG00000157335
Breast,CLN8,1,33,ENSG00000182372
Breast,CPB2,1,33,ENSG00000080618
Breast,CPO,1,33,ENSG00000144410
Breast,CSK,1,33,ENSG00000103653
Breast,CTNNA1,1,33,ENSG00000044115
Breast,CUTA,1,33,ENSG00000112514
Breast,DCAF4,1,33,ENSG00000119599
Breast,DCUN1D1,1,33,ENSG00000043093
Breast,DDX1,1,33,ENSG00000079785
Breast,DDX4,1,33,ENSG00000152670
Breast,DEFB4A,1,33,ENSG00000171711
Breast,DLGAP5,1,33,ENSG00000126787
Breast,DNAJC19,1,33,ENSG00000205981
Breast,DRG2,1,33,ENSG00000108591
Breast,DTNA,1,33,ENSG00000134769
Breast,DUX4,1,33,ENSG00000260596
Breast,DYNAP,1,33,ENSG00000178690
Breast,E2F7,1,33,ENSG00000165891
Breast,EBF2,1,33,ENSG00000221818
Breast,EIF1AY,1,33,ENSG00000198692
Breast,EIF3L,1,33,ENSG00000100129
Breast,EIF4E2,1,33,ENSG00000135930
Breast,EP300,1,33,ENSG00000100393
Breast,ERBB2,1,33,ENSG00000141736
Breast,ERGIC2,1,33,ENSG00000087502
Breast,EXOC6B,1,33,ENSG00000144036
Breast,FABP2,1,33,ENSG00000145384
Breast,FAM122A,1,33,
Breast,FAM157A,1,33,
Breast,FBXO2,1,33,ENSG00000116661
Breast,FHL3,1,33,ENSG00000183386
Breast,FNDC3B,1,33,ENSG00000075420
Breast,FOPNL,1,33,
Breast,FRYL,1,33,ENSG00000075539
Breast,FSBP,1,33,ENSG00000265817
Breast,FTH1,1,33,ENSG00000167996
Breast,FYB1,1,33,ENSG00000082074
Breast,GADD45A,1,33,ENSG00000116717
Breast,GATA3,1,33,ENSG00000107485
Breast,GBGT1,1,33,ENSG00000148288
Breast,GLRX3,1,33,ENSG00000108010
Breast,GNAZ,1,33,ENSG00000128266
Breast,GOLGA6L10,1,33,ENSG00000278662
Breast,GPX4,1,33,ENSG00000167468
Breast,GRHL2,1,33,ENSG00000083307
Breast,GSK3B,1,33,ENSG00000082701
Breast,GTF2H2C,1,33,ENSG00000145736
Breast,HILPDA,1,33,ENSG00000135245
Breast,HIST1H2BK,1,33,
Breast,HIST2H3D,1,33,
Breast,HIST2H4B,1,33,
Breast,HMGN5,1,33,ENSG00000198157
Breast,HNRNPA1,1,33,ENSG00000135486
Breast,HSD17B7,1,33,ENSG00000132196
Breast,HSPBP1,1,33,ENSG00000133265
Breast,HYI,1,33,ENSG00000178922
Breast,IFNGR2,1,33,ENSG00000159128
Breast,IMPDH2,1,33,ENSG00000178035
Breast,INO80C,1,33,ENSG00000153391
Breast,IRF2,1,33,ENSG00000168310
Breast,ITGA6,1,33,ENSG00000091409
Breast,KCTD9,1,33,ENSG00000104756
Breast,KIAA0753,1,33,ENSG00000198920
Breast,KIF27,1,33,ENSG00000165115
Breast,KLF6,1,33,ENSG00000067082
Breast,KLHL26,1,33,ENSG00000167487
Breast,KLLN,1,33,ENSG00000227268
Breast,KMT2D,1,33,ENSG00000167548
Breast,LHFPL2,1,33,ENSG00000145685
Breast,LIMK2,1,33,ENSG00000182541
Breast,LIN37,1,33,ENSG00000267796
Breast,LMOD2,1,33,ENSG00000170807
Breast,LPAR2,1,33,ENSG00000064547
Breast,LRRC1,1,33,ENSG00000137269
Breast,LRRC37A3,1,33,ENSG00000176809
Breast,LUZP1,1,33,ENSG00000169641
Breast,MACROD2,1,33,ENSG00000172264
Breast,MAP4K4,1,33,ENSG00000071054
Breast,MARK4,1,33,ENSG00000007047
Breast,MBTD1,1,33,ENSG00000011258
Breast,METTL2B,1,33,ENSG00000165055
Breast,MON2,1,33,ENSG00000061987
Breast,MTERF3,1,33,ENSG00000156469
Breast,MYO18B,1,33,ENSG00000133454
Breast,MYSM1,1,33,ENSG00000162601
Breast,NBPF1,1,33,ENSG00000219481
Breast,NCKAP5,1,33,ENSG00000176771
Breast,NDUFA3,1,33,ENSG00000170906
Breast,NDUFAF3,1,33,ENSG00000178057
Breast,NDUFB6,1,33,ENSG00000165264
Breast,NPIPA3,1,33,ENSG00000224712
Breast,NR0B1,1,33,ENSG00000169297
Breast,NUP58,1,33,ENSG00000139496
Breast,NUTM2A,1,33,ENSG00000184923
Breast,OFD1,1,33,ENSG00000046651
Breast,OR51L1,1,33,ENSG00000176798
Breast,PAK2,1,33,ENSG00000180370
Breast,PAWR,1,33,ENSG00000177425
Breast,PCDHGC3,1,33,ENSG00000240184
Breast,PDCD10,1,33,ENSG00000114209
Breast,PDHB,1,33,ENSG00000168291
Breast,PIAS2,1,33,ENSG00000078043
Breast,PICALM,1,33,ENSG00000073921
Breast,PIK3CB,1,33,ENSG00000051382
Breast,PITPNB,1,33,ENSG00000180957
Breast,PKD1L1,1,33,ENSG00000158683
Breast,PKN2,1,33,ENSG00000065243
Breast,PLEKHA1,1,33,ENSG00000107679
Breast,PLEKHH3,1,33,ENSG00000068137
Breast,PLGLB2,1,33,ENSG00000125551
Breast,PPIAL4F,1,33,ENSG00000279782
Breast,PPP1R13B,1,33,ENSG00000088808
Breast,PPP2R2B,1,33,ENSG00000156475
Breast,PPP3R1,1,33,ENSG00000221823
Breast,PREX1,1,33,ENSG00000124126
Breast,PRND,1,33,ENSG00000171864
Breast,PROX2,1,33,ENSG00000119608
Breast,PTEN,1,33,ENSG00000171862
Breast,RAB12,1,33,ENSG00000206418
Breast,RB1,1,33,ENSG00000139687
Breast,REXO1L1P,1,33,
Breast,RGPD8,1,33,ENSG00000169629
Breast,RHOBTB1,1,33,ENSG00000072422
Breast,RINL,1,33,ENSG00000187994
Breast,RNASEH1,1,33,ENSG00000171865
Breast,ROCK2,1,33,ENSG00000134318
Breast,ROPN1B,1,33,ENSG00000114547
Breast,RPL13A,1,33,ENSG00000142541
Breast,RPS10-NUDT3,1,33,ENSG00000270800
Breast,RPS17,1,33,ENSG00000182774
Breast,RPS3A,1,33,ENSG00000145425
Breast,RRAGC,1,33,ENSG00000116954
Breast,RUNDC3A,1,33,ENSG00000108309
Breast,RUSC1,1,33,ENSG00000160753
Breast,SCAF8,1,33,ENSG00000213079
Breast,SCUBE3,1,33,ENSG00000146197
Breast,SDHAF3,1,33,ENSG00000196636
Breast,SECISBP2L,1,33,ENSG00000138593
Breast,SERPINI1,1,33,ENSG00000163536
Breast,SH2B3,1,33,ENSG00000111252
Breast,SKAP2,1,33,ENSG00000005020
Breast,SLC22A3,1,33,ENSG00000146477
Breast,SLC25A1,1,33,ENSG00000100075
Breast,SLC26A2,1,33,ENSG00000155850
Breast,SLC2A10,1,33,ENSG00000197496
Breast,SLC30A6,1,33,ENSG00000152683
Breast,SLC45A2,1,33,ENSG00000164175
Breast,SLC7A5,1,33,ENSG00000103257
Breast,SLCO1B1,1,33,ENSG00000134538
Breast,SMAD4,1,33,ENSG00000141646
Breast,SNPH,1,33,ENSG00000101298
Breast,SNRPB2,1,33,ENSG00000125870
Breast,SNX22,1,33,ENSG00000157734
Breast,SOX10,1,33,ENSG00000100146
Breast,SOX9,1,33,ENSG00000125398
Breast,SPACA5B,1,33,ENSG00000171478
Breast,SPDEF,1,33,ENSG00000124664
Breast,SPINK13,1,33,ENSG00000214510
Breast,SRGAP3,1,33,ENSG00000196220
Breast,SRY,1,33,ENSG00000184895
Breast,SSTR4,1,33,ENSG00000132671
Breast,ST20,1,33,
Breast,ST20-MTHFS,1,33,ENSG00000259332
Breast,STARD3NL,1,33,ENSG00000010270
Breast,TADA3,1,33,ENSG00000171148
Breast,TAOK1,1,33,ENSG00000160551
Breast,TAZ,1,33,
Breast,TBC1D4,1,33,ENSG00000136111
Breast,TBC1D7,1,33,ENSG00000145979
Breast,TC2N,1,33,ENSG00000165929
Breast,TGFBR2,1,33,ENSG00000163513
Breast,TMC3,1,33,ENSG00000188869
Breast,TMEM155,1,33,
Breast,TP53,1,33,ENSG00000141510
Breast,TP53TG3B,1,33,ENSG00000261509
Breast,TREM1,1,33,ENSG00000124731
Breast,TRPS1,1,33,ENSG00000104447
Breast,TSPY8,1,33,ENSG00000229549
Breast,TTR,1,33,ENSG00000118271
Breast,UGT3A2,1,33,ENSG00000168671
Breast,USP17L8,1,33,ENSG00000236125
Breast,UXS1,1,33,ENSG00000115652
Breast,VRK1,1,33,ENSG00000100749
Breast,WDR20,1,33,ENSG00000140153
Breast,WDR53,1,33,ENSG00000185798
Breast,WDR59,1,33,ENSG00000103091
Breast,XPO6,1,33,ENSG00000169180
Breast,XRCC4,1,33,ENSG00000152422
Breast,ZFP82,1,33,ENSG00000181007
Breast,ZNF33A,1,33,ENSG00000189180
Breast,ZNF433,1,33,ENSG00000197647
Breast,ZNF587B,1,33,ENSG00000269343
Breast,ZNF737,1,33,ENSG00000237440
Breast,AFM,2,33,ENSG00000079557
Breast,ALG1L,2,33,
Breast,ASB11,2,33,ENSG00000165192
Breast,CTAGE8,2,33,ENSG00000289604
Breast,ESR1,2,33,ENSG00000091831
Breast,ETS1,2,33,ENSG00000134954
Breast,FOXA1,2,33,ENSG00000129514
Breast,GOLGA8N,2,33,ENSG00000232653
Breast,KCTD10,2,33,ENSG00000110906
Breast,KIRREL,2,33,
Breast,NF2,2,33,ENSG00000186575
Breast,PIBF1,2,33,ENSG00000083535
Breast,PRAMEF5,2,33,ENSG00000270601
Breast,SPATA31A7,2,33,ENSG00000276040
Breast,TNFRSF13C,2,33,ENSG00000159958
Breast,WASHC1,2,33,ENSG00000181404
Breast,CEP76,3,33,ENSG00000101624
Breast,HIST2H2BF,3,33,
Breast,HIST2H3A,3,33,
Breast,TBC1D3F,3,33,ENSG00000275954
Breast,TFAP2C,3,33,ENSG00000087510
Breast,TYMS,3,33,ENSG00000176890
Breast,EIF3CL,4,33,ENSG00000184110
Breast,GYPE,4,33,ENSG00000197465
Breast,LCE1E,4,33,ENSG00000186226
Breast,RPL21,4,33,ENSG00000122026
Breast,SCAP,4,33,ENSG00000114650
Breast,FAM86B1,5,33,ENSG00000186523
Breast,NPIPA5,6,33,ENSG00000183793
Breast,RPSA,6,33,ENSG00000168028
Breast,TBC1D3H,7,33,ENSG00000274226
Breast,BCL2L2-PABPN1,8,33,ENSG00000258643
Breast,RGPD6,10,33,ENSG00000183054
Breast,POLR2J,13,33,ENSG00000005075
Breast,TBC1D3C,13,33,ENSG00000274611
Breast,POLR2A,18,33,ENSG00000181222
Breast*,ABCD2,1,63,ENSG00000173208
Breast*,ABTB2,1,63,ENSG00000166016
Breast*,ACAD10,1,63,ENSG00000111271
Breast*,ACAD9,1,63,ENSG00000177646
Breast*,ACTG2,1,63,ENSG00000163017
Breast*,ACTL8,1,63,ENSG00000117148
Breast*,ACTN1,1,63,ENSG00000072110
Breast*,ACVR1,1,63,ENSG00000115170
Breast*,ACVR2A,1,63,ENSG00000121989
Breast*,ADAM18,1,63,ENSG00000168619
Breast*,ADH1A,1,63,ENSG00000187758
Breast*,ADIPOR2,1,63,ENSG00000006831
Breast*,AGTR1,1,63,ENSG00000144891
Breast*,AMACR,1,63,ENSG00000242110
Breast*,AMBRA1,1,63,ENSG00000110497
Breast*,AMOTL2,1,63,ENSG00000114019
Breast*,AP1S2,1,63,ENSG00000182287
Breast*,APOBEC3A_B,1,63,ENSG00000128383
Breast*,APOC3,1,63,ENSG00000110245
Breast*,APOL5,1,63,ENSG00000128313
Breast*,ARHGDIA,1,63,ENSG00000141522
Breast*,ARIH2,1,63,ENSG00000177479
Breast*,ASH2L,1,63,ENSG00000129691
Breast*,ATG101,1,63,ENSG00000123395
Breast*,ATP2B1,1,63,ENSG00000070961
Breast*,ATP5O,1,63,
Breast*,ATXN10,1,63,ENSG00000130638
Breast*,BANF2,1,63,ENSG00000125888
Breast*,BCAS1,1,63,ENSG00000064787
Breast*,BCAS3,1,63,ENSG00000141376
Breast*,BGLAP,1,63,ENSG00000242252
Breast*,BIRC2,1,63,ENSG00000110330
Breast*,BMPR1A,1,63,ENSG00000107779
Breast*,BOLA2B,1,63,ENSG00000169627
Breast*,C1orf56,1,63,ENSG00000143443
Breast*,CAPZA2,1,63,ENSG00000198898
Breast*,CARS2,1,63,ENSG00000134905
Breast*,CBFB,1,63,ENSG00000067955
Breast*,CCDC6,1,63,ENSG00000108091
Breast*,CCDC74A,1,63,ENSG00000163040
Breast*,CDC42SE2,1,63,ENSG00000158985
Breast*,CDKN2B,1,63,ENSG00000147883
Breast*,CEBPB,1,63,ENSG00000172216
Breast*,CENPB,1,63,ENSG00000125817
Breast*,CEP350,1,63,ENSG00000135837
Breast*,CGNL1,1,63,ENSG00000128849
Breast*,CHI3L1,1,63,ENSG00000133048
Breast*,CHST7,1,63,ENSG00000147119
Breast*,CLEC12A,1,63,ENSG00000172322
Breast*,CLEC18C,1,63,ENSG00000157335
Breast*,CLN8,1,63,ENSG00000182372
Breast*,CPB2,1,63,ENSG00000080618
Breast*,CPO,1,63,ENSG00000144410
Breast*,CSK,1,63,ENSG00000103653
Breast*,CTNNA1,1,63,ENSG00000044115
Breast*,CUTA,1,63,ENSG00000112514
Breast*,CYC1,1,63,ENSG00000179091
Breast*,DCAF4,1,63,ENSG00000119599
Breast*,DCUN1D1,1,63,ENSG00000043093
Breast*,DDX1,1,63,ENSG00000079785
Breast*,DDX4,1,63,ENSG00000152670
Breast*,DEFB114,1,63,ENSG00000177684
Breast*,DEFB4A,1,63,ENSG00000171711
Breast*,DET1,1,63,ENSG00000140543
Breast*,DLGAP5,1,63,ENSG00000126787
Breast*,DNAJC19,1,63,ENSG00000205981
Breast*,DRG2,1,63,ENSG00000108591
Breast*,DTNA,1,63,ENSG00000134769
Breast*,DUX4,1,63,ENSG00000260596
Breast*,DYNAP,1,63,ENSG00000178690
Breast*,E2F7,1,63,ENSG00000165891
Breast*,EBF2,1,63,ENSG00000221818
Breast*,EIF1AY,1,63,ENSG00000198692
Breast*,EIF3L,1,63,ENSG00000100129
Breast*,EIF4E2,1,63,ENSG00000135930
Breast*,EP300,1,63,ENSG00000100393
Breast*,EXOC6B,1,63,ENSG00000144036
Breast*,FABP2,1,63,ENSG00000145384
Breast*,FAM122A,1,63,
Breast*,FAM157A,1,63,
Breast*,FBXO2,1,63,ENSG00000116661
Breast*,FGFR2,1,63,ENSG00000066468
Breast*,FHL3,1,63,ENSG00000183386
Breast*,FNDC3B,1,63,ENSG00000075420
Breast*,FOPNL,1,63,
Breast*,FRYL,1,63,ENSG00000075539
Breast*,FSBP,1,63,ENSG00000265817
Breast*,FYB1,1,63,ENSG00000082074
Breast*,GADD45A,1,63,ENSG00000116717
Breast*,GBGT1,1,63,ENSG00000148288
Breast*,GLRX3,1,63,ENSG00000108010
Breast*,GNAZ,1,63,ENSG00000128266
Breast*,GPER1,1,63,ENSG00000164850
Breast*,GRHL2,1,63,ENSG00000083307
Breast*,GSK3B,1,63,ENSG00000082701
Breast*,GTF2H2C,1,63,ENSG00000145736
Breast*,H3F3B,1,63,
Breast*,HILPDA,1,63,ENSG00000135245
Breast*,HIST1H2BK,1,63,
Breast*,HMGN5,1,63,ENSG00000198157
Breast*,HNRNPA1,1,63,ENSG00000135486
Breast*,HSD17B7,1,63,ENSG00000132196
Breast*,HSPBP1,1,63,ENSG00000133265
Breast*,HYI,1,63,ENSG00000178922
Breast*,IDH3A,1,63,ENSG00000166411
Breast*,IFNGR2,1,63,ENSG00000159128
Breast*,IRF2,1,63,ENSG00000168310
Breast*,ITGA6,1,63,ENSG00000091409
Breast*,KCTD9,1,63,ENSG00000104756
Breast*,KIAA0753,1,63,ENSG00000198920
Breast*,KIF27,1,63,ENSG00000165115
Breast*,KLF6,1,63,ENSG00000067082
Breast*,KLHL26,1,63,ENSG00000167487
Breast*,KLLN,1,63,ENSG00000227268
Breast*,KMT2D,1,63,ENSG00000167548
Breast*,KNTC1,1,63,ENSG00000184445
Breast*,LHFPL2,1,63,ENSG00000145685
Breast*,LIMK2,1,63,ENSG00000182541
Breast*,LIN37,1,63,ENSG00000267796
Breast*,LMOD2,1,63,ENSG00000170807
Breast*,LMX1B,1,63,ENSG00000136944
Breast*,LPAR2,1,63,ENSG00000064547
Breast*,LRRC1,1,63,ENSG00000137269
Breast*,LUZP1,1,63,ENSG00000169641
Breast*,MACROD2,1,63,ENSG00000172264
Breast*,MAP4K4,1,63,ENSG00000071054
Breast*,MARK4,1,63,ENSG00000007047
Breast*,MBTD1,1,63,ENSG00000011258
Breast*,METTL2A,1,63,ENSG00000087995
Breast*,METTL2B,1,63,ENSG00000165055
Breast*,MON2,1,63,ENSG00000061987
Breast*,MPO,1,63,ENSG00000005381
Breast*,MTERF3,1,63,ENSG00000156469
Breast*,MYO18B,1,63,ENSG00000133454
Breast*,MYSM1,1,63,ENSG00000162601
Breast*,NBPF4,1,63,ENSG00000196427
Breast*,NCKAP5,1,63,ENSG00000176771
Breast*,NCOA3,1,63,ENSG00000124151
Breast*,NDUFA3,1,63,ENSG00000170906
Breast*,NDUFAF3,1,63,ENSG00000178057
Breast*,NDUFB6,1,63,ENSG00000165264
Breast*,NPIPA3,1,63,ENSG00000224712
Breast*,NR0B1,1,63,ENSG00000169297
Breast*,NUDT4,1,63,ENSG00000173598
Breast*,NUP58,1,63,ENSG00000139496
Breast*,NUTM2A,1,63,ENSG00000184923
Breast*,OFD1,1,63,ENSG00000046651
Breast*,OR51L1,1,63,ENSG00000176798
Breast*,PAK2,1,63,ENSG00000180370
Breast*,PAWR,1,63,ENSG00000177425
Breast*,PCDHGC3,1,63,ENSG00000240184
Breast*,PDCD10,1,63,ENSG00000114209
Breast*,PDHB,1,63,ENSG00000168291
Breast*,PFDN4,1,63,ENSG00000101132
Breast*,PIAS2,1,63,ENSG00000078043
Breast*,PICALM,1,63,ENSG00000073921
Breast*,PIK3CB,1,63,ENSG00000051382
Breast*,PITPNB,1,63,ENSG00000180957
Breast*,PKD1L1,1,63,ENSG00000158683
Breast*,PKN2,1,63,ENSG00000065243
Breast*,PLA2G10,1,63,ENSG00000069764
Breast*,PLEKHA1,1,63,ENSG00000107679
Breast*,PLEKHH3,1,63,ENSG00000068137
Breast*,PLGLB2,1,63,ENSG00000125551
Breast*,POTEM,1,63,ENSG00000222036
Breast*,PPP1R13B,1,63,ENSG00000088808
Breast*,PPP2R2B,1,63,ENSG00000156475
Breast*,PPP3R1,1,63,ENSG00000221823
Breast*,PRAMEF6,1,63,ENSG00000232423
Breast*,PREX1,1,63,ENSG00000124126
Breast*,PRND,1,63,ENSG00000171864
Breast*,PROCA1,1,63,ENSG00000167525
Breast*,PROX2,1,63,ENSG00000119608
Breast*,PTAR1,1,63,ENSG00000188647
Breast*,PTEN,1,63,ENSG00000171862
Breast*,PTPN22,1,63,ENSG00000134242
Breast*,RAB12,1,63,ENSG00000206418
Breast*,RASA4B,1,63,ENSG00000170667
Breast*,RB1,1,63,ENSG00000139687
Breast*,RGPD8,1,63,ENSG00000169629
Breast*,RHOBTB1,1,63,ENSG00000072422
Breast*,RINL,1,63,ENSG00000187994
Breast*,RNASEH1,1,63,ENSG00000171865
Breast*,ROCK2,1,63,ENSG00000134318
Breast*,ROPN1B,1,63,ENSG00000114547
Breast*,RPS10-NUDT3,1,63,ENSG00000270800
Breast*,RPS3A,1,63,ENSG00000145425
Breast*,RRAGA,1,63,ENSG00000155876
Breast*,RUNDC3A,1,63,ENSG00000108309
Breast*,RUSC1,1,63,ENSG00000160753
Breast*,SCAF8,1,63,ENSG00000213079
Breast*,SCUBE3,1,63,ENSG00000146197
Breast*,SDHAF3,1,63,ENSG00000196636
Breast*,SECISBP2L,1,63,ENSG00000138593
Breast*,SEPHS2,1,63,ENSG00000179918
Breast*,SERPINI1,1,63,ENSG00000163536
Breast*,SH2B3,1,63,ENSG00000111252
Breast*,SLC22A3,1,63,ENSG00000146477
Breast*,SLC25A1,1,63,ENSG00000100075
Breast*,SLC25A24,1,63,ENSG00000085491
Breast*,SLC26A2,1,63,ENSG00000155850
Breast*,SLC2A10,1,63,ENSG00000197496
Breast*,SLC30A6,1,63,ENSG00000152683
Breast*,SLC45A2,1,63,ENSG00000164175
Breast*,SLCO1B1,1,63,ENSG00000134538
Breast*,SMAD4,1,63,ENSG00000141646
Breast*,SNAP23,1,63,ENSG00000092531
Breast*,SNPH,1,63,ENSG00000101298
Breast*,SNX22,1,63,ENSG00000157734
Breast*,SOX10,1,63,ENSG00000100146
Breast*,SOX9,1,63,ENSG00000125398
Breast*,SPACA5B,1,63,ENSG00000171478
Breast*,SPDEF,1,63,ENSG00000124664
Breast*,SPINK13,1,63,ENSG00000214510
Breast*,SRGAP3,1,63,ENSG00000196220
Breast*,SRY,1,63,ENSG00000184895
Breast*,SSTR4,1,63,ENSG00000132671
Breast*,ST20,1,63,
Breast*,ST20-MTHFS,1,63,ENSG00000259332
Breast*,STARD3NL,1,63,ENSG00000010270
Breast*,TADA3,1,63,ENSG00000171148
Breast*,TAOK1,1,63,ENSG00000160551
Breast*,TAZ,1,63,
Breast*,TBC1D4,1,63,ENSG00000136111
Breast*,TBC1D7,1,63,ENSG00000145979
Breast*,TBX2,1,63,ENSG00000121068
Breast*,TC2N,1,63,ENSG00000165929
Breast*,TGFBR2,1,63,ENSG00000163513
Breast*,TMA7,1,63,ENSG00000232112
Breast*,TMC3,1,63,ENSG00000188869
Breast*,TMEM155,1,63,
Breast*,TMEM183B,1,63,
Breast*,TMEM94,1,63,ENSG00000177728
Breast*,TNFAIP8L2-SCNM1,1,63,ENSG00000163156
Breast*,TOMM70,1,63,ENSG00000154174
Breast*,TP53,1,63,ENSG00000141510
Breast*,TP53TG3B,1,63,ENSG00000261509
Breast*,TREM1,1,63,ENSG00000124731
Breast*,TRPS1,1,63,ENSG00000104447
Breast*,TSPY8,1,63,ENSG00000229549
Breast*,TTR,1,63,ENSG00000118271
Breast*,UBA6,1,63,ENSG00000033178
Breast*,UGT3A2,1,63,ENSG00000168671
